"","Dataset.Name","Treatment.regimen","Drug.targets","Metastasis.status","Monotherapy","Combination","cancer_type","tissueid"
"1","ICB_Braun","Nivolumab","PD-1","Yes","Yes","No","Kidney","Kidney"
"2","ICB_Gide","anti-PD-1, anti-PD-1+anti-CTLA4","PD-1|CTLA4","Yes","No","Yes","Melanoma","Skin"
"3","ICB_Hugo","Nivolumab|Pembrolizumab","PD-1","Yes","Yes","No","Melanoma","Skin"
"4","ICB_Hwang ","Nivolumab|Pembrolizumab","PD-1","Yes","Yes","No",NA,NA
"5","ICB_Jerby_Arnon","Pembrolizumab","PD-1","Yes","Yes","No","Melanoma","Skin"
"6","ICB_Jung","Ipilimumab|Pembrolizumab","PD-1|CTLA4","","Yes","No","Lung","Lung"
"7","ICB_Kim","Pembrolizumab","PD-1","Yes","Yes","No","Gastric","Esophagus/Stomach"
"8","ICB_Liu","Nivolumab|Pembrolizumab","PD-1","Yes","Yes","No","Melanoma","Skin"
"9","ICB_Mariathasan","Atezolizumab","PDL-1","Yes","Yes","No","Lymph_node","Lymphoid"
"10","ICB_Miao1","Nivolumab","PD-1","Yes","Yes","No","Kidney","Kidney"
"11","ICB_Nathanson","Ipilimumab|Tremelimumab","CTLA4","No","Yes","No","Melanoma","Skin"
"12","ICB_Padron","Nivolumab|Sotigalimab+gemcitabine/nab-paclitaxel","PD-1","Yes","No","No","Pancreas","Pancreas"
"13","ICB_Puch","anti-PD-1","PD-1","No","Yes","No","Melanoma","Skin"
"14","ICB_Riaz","Nivolumab","PD-1","No","Yes","No","Melanoma","Skin"
"15","ICB_Roh","anti-PD-1|anti-CTLA4","PD-1|CTLA4","Yes","Yes","No","Melanoma","Skin"
"16","ICB_Shiuan","Nivolumab|Atezolizumab","PD-1|PDL-1","Yes","Yes","No","Kidney","Kidney"
"17","ICB_Snyder","Atezolizumab","PDL-1","Yes","Yes","No","Ureteral",NA
"18","ICB_Van_Allen","Ipilimumab","CTLA4","Yes","Yes","No","Melanoma","Skin"
"19","ICB_VanDenEnde","Atezolizumab","PDL-1","","Yes","No","Esophageal","Esophagus/Stomach"
